! No. of levels in these profiles: 
101 
!
MODEL 1 : SERGIO 
!
! Latitude (deg) 
0.0 
!
! Altitude (km) 
  1.28318e-09, 1.16417e-09, 1.05203e-09, 9.46671e-10, 8.47942e-10,  
  7.55826e-10, 6.70094e-10, 5.90638e-10, 5.17287e-10, 4.49919e-10,  
  3.88326e-10, 3.32349e-10, 2.81755e-10, 2.36344e-10, 1.95910e-10,  
  1.60203e-10, 1.28996e-10, 1.02016e-10, 7.89994e-11, 5.96740e-11,  
  4.37405e-11, 3.09037e-11, 2.08445e-11, 1.32441e-11, 7.76599e-12,  
  4.06751e-12 
!
1 : WV (ppmv) 
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021,     0.00021,     0.00021,     0.00021,     0.00021,  
      0.00021 
!
2 : CO2 (ppmv) 
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000,     0.95000,     0.95000,     0.95000,     0.95000,  
      0.95000 
!
3 : N2 (ppmv) 
      0.02590,     0.02590,     0.02590,     0.02590,     0.02590,  
      0.02590,     0.02590,     0.02590,     0.02590,     0.02590,  
      0.02590,     0.02590,     0.02590,     0.02590,     0.02590,  
      0.02590,     0.02590,     0.02590,     0.02590,     0.02590,  
      0.02590,     0.02590,     0.02590,     0.02590,     0.02590,  
      0.02590,     0.02590,     0.02590,     0.02590,     0.02590,  
      0.02590,     0.02590,     0.02590,     0.02590,     0.02590,  
      0.02590,     0.02590,     0.02590,     0.02590,     0.02590,  
